Country	Year	Rate
Australia	2019	44.5
Austria	2019	30.8
Belgium	2018	37.7
Canada	2019	63.6
Czechia	2019	16.7
Denmark	2019	56.7
Finland	2019	36.7
France	2017	28.7
Germany	2019	49.5
Greece	2019	14
Hungary	2019	42.9
Iceland	2019	33.3
Ireland	2018	56.3
Italy	2017	25.2
Japan	2019	9
Korea	2019	11
Luxembourg	2019	43.2
Mexico	2019	6.8
Netherlands	2019	59.6
New Zealand	2016	43.2
Norway	2016	51.4
Poland	2019	9.3
Portugal	2019	37.3
Slovak Republic	2019	17.1
Spain	2019	32.8
Sweden	2018	54.6
Switzerland	2019	54.5
United Kingdom	2019	66.7
United States 	2019	42
Brazil	2019	10.6
Chile	2019	17.7
Estonia	2019	10.8
Israel	2019	38.3
Russia	2019	15
Slovenia	2019	20
South Africa	2018	18.9
Costa Rica	2019	21.3
Colombia	2019	5.9
Latvia	2019	24.4
Lithuania	2019	8.5
